06.06.2025                                                                                                    Dynamic List Display                                                                                                                                                             1


	/BIC/MD_RS	OBJVERS	CHANGED	/BIC/MD_RS_NK	/BIC/MD_PH	/BIC/MD_RS_TP	/BIC/MD_RS_EN	/BIC/MD_RS_OF	/BIC/MD_RS_FY	/BIC/MD_RS_LY	/BIC/MD_RS_PL	/BIC/MD_AD	/BIC/MD_RS_AS	/BIC/MD_RS_BN	/BIC/MD_RS_PT	/BIC/MD_RS_PA	/BIC/MD_RS_AR	/BIC/MD_RS_YO
	      0132	A		AW00000132	661-555-0168	SPECIALTY BIKE SHOP	          31	A	         0000	         0000	ROAD	5650 WEST 88TH AVE.	   1.500.000	GUARDIAN BANK	           01	           0	     150.000	         2002
	      0133	A		AW00000133	132-555-0150	WAREHOUSE	          61	Q	         2006	         2007	MOUNTAIN	9700 SISK ROAD	   3.000.000	RESERVE SECURITY	           00	           0	     300.000	         1983
	      0134	A		AW00000134	238-555-0165	VALUE ADDED RESELLER	          18	S	         2007	         2008	ROAD	TOM MORRIS	     800.000	INTERNATIONAL BANK	           01	           0	      80.000	         2001
	      0135	A		AW00000135	250-555-0127	SPECIALTY BIKE SHOP	          34	A	         2006	         2007	ROAD	C/O ARROW ELECTRONICS	   1.500.000	INTERNATIONAL SECURITY	           02	           0	     150.000	         1987
	      0136	A		AW00000136	674-555-0187	WAREHOUSE	          64	Q	         2005	         2006	ROAD	655-4TH AVE S.W.	   3.000.000	PRIMARY INTERNATIONAL	           03	         600	     300.000	         2000
	      0137	A		AW00000137	257-555-0119	VALUE ADDED RESELLER	          17	S	         2005	         2007	MOUNTAIN	25900-700-9TH AVE S.W.	     800.000	UNITED SECURITY	           00	           0	      80.000	         1991
	      0138	A		AW00000138	206-555-0195	SPECIALTY BIKE SHOP	          37	A	         2007	         2008	TOURING	PO BOX 83270	   1.500.000	PRIMARY BANK & RESERVE	           01	           0	     150.000	         1999
	      0139	A		AW00000139	1 (11) 500 555-0168	WAREHOUSE	          67	Q	         2006	         2008	ROAD	5, PLACE DE LA CONCORDE	   3.000.000	GUARDIAN BANK	           02	           0	     300.000	         1995
	      0140	A		AW00000140	1 (11) 500 555-0187	VALUE ADDED RESELLER	          16	S	         0000	         0000	MOUNTAIN	HABERSTR 29	     800.000	RESERVE SECURITY	           03	         600	      80.000	         1998
	      0141	A		AW00000141	1 (11) 500 555-0176	SPECIALTY BIKE SHOP	          40	A	         2007	         2008	MOUNTAIN	2520B UNDERWOOD STREET	   1.500.000	INTERNATIONAL BANK	           03	         600	     150.000	         1999
	      0142	A		AW00000142	1 (11) 500 555-0114	WAREHOUSE	          70	Q	         2007	         2008	ROAD	GALASHIELS	   3.000.000	INTERNATIONAL SECURITY	           02	           0	     300.000	         1997
	      0143	A		AW00000143	545-555-0183	VALUE ADDED RESELLER	          15	S	         2005	         2008	ROAD	SALTONSTALL PARKWAY	     800.000	PRIMARY INTERNATIONAL	           01	           0	      80.000	         2003
	      0144	A		AW00000144	539-555-0142	SPECIALTY BIKE SHOP	          43	A	         2005	         2006	MOUNTAIN	123 UNION SQUARE SOUTH	   1.500.000	UNITED SECURITY	           00	           0	     150.000	         1996
	      0145	A		AW00000145	962-555-0166	WAREHOUSE	          73	Q	         2005	         2006	MOUNTAIN	BLDG. 9N/99298	   3.000.000	PRIMARY BANK & RESERVE	           01	           0	     300.000	         2002
	      0146	A		AW00000146	340-555-0131	VALUE ADDED RESELLER	          14	S	         2005	         2008	MOUNTAIN	4251 FIRST AVENUE	     800.000	GUARDIAN BANK	           02	           0	      80.000	         1995
	      0147	A		AW00000147	221-555-0141	SPECIALTY BIKE SHOP	          46	A	         2006	         2007	ROAD	42500 W 76TH ST	   1.500.000	RESERVE SECURITY	           03	         600	     150.000	         2001
	      0148	A		AW00000148	494-555-0134	WAREHOUSE	          76	Q	         2005	         2008	MOUNTAIN	4255 EAST LIES ROAD	   3.000.000	INTERNATIONAL BANK	           00	           0	     300.000	         1994
	      0149	A		AW00000149	229-555-0114	VALUE ADDED RESELLER	          13	S	         2006	         2008	MOUNTAIN	789 WEST ALAMEDA	     800.000	INTERNATIONAL SECURITY	           01	           0	      80.000	         2000
	      0150	A		AW00000150	927-555-0198	SPECIALTY BIKE SHOP	          49	A	         2006	         2007	MOUNTAIN	54254 PACIFIC AVE.	   1.500.000	PRIMARY INTERNATIONAL	           02	           0	     150.000	         1993
	      0151	A		AW00000151	163-555-0155	WAREHOUSE	          79	Q	         2006	         2008	MOUNTAIN	25136 JEFFERSON BLVD.	   3.000.000	UNITED SECURITY	           03	         600	     300.000	         1999
	      0152	A		AW00000152	353-555-0188	VALUE ADDED RESELLER	          12	S	         2006	         2008	ROAD	PARK NORTH BUSINESS CENTER	     800.000	PRIMARY BANK & RESERVE	           03	         200	      80.000	         1992
	      0153	A		AW00000153	954-555-0145	SPECIALTY BIKE SHOP	          48	A	         2007	         2007	ROAD	23456 CALUMET ST	   1.500.000	GUARDIAN BANK	           02	           0	     150.000	         1998
	      0154	A		AW00000154	193-555-0116	WAREHOUSE	          80	Q	         2007	         2008	TOURING	400-25155 WEST PENDER ST	   3.000.000	RESERVE SECURITY	           01	           0	     300.000	         1991
	      0155	A		AW00000155	180-555-0114	VALUE ADDED RESELLER	          11	S	         2005	         2008	ROAD	2511 BAKER ROAD	     800.000	INTERNATIONAL BANK	           00	           0	      80.000	         1997
	      0156	A		AW00000156	844-555-0112	SPECIALTY BIKE SHOP	          47	A	         2005	         2008	ROAD	770 NOTRE DATME QUEST BUREAU 800	   1.500.000	INTERNATIONAL SECURITY	           01	           0	     150.000	         1990
	      0157	A		AW00000157	1 (11) 500 555-0120	WAREHOUSE	          81	Q	         2006	         2008	MOUNTAIN	36, AVENUE DE LA GARE	   3.000.000	PRIMARY INTERNATIONAL	           02	           0	     300.000	         1996
	      0158	A		AW00000158	1 (11) 500 555-0191	VALUE ADDED RESELLER	          10	S	         0000	         0000	ROAD	AUF DER KRONE 53	     800.000	UNITED SECURITY	           03	         600	      80.000	         1989
	      0159	A		AW00000159	1 (11) 500 555-0177	SPECIALTY BIKE SHOP	          46	A	         2007	         2008	TOURING	65 EPPING ROAD	   1.500.000	PRIMARY BANK & RESERVE	           00	           0	     150.000	         1995
	      0160	A		AW00000160	1 (11) 500 555-0178	WAREHOUSE	          82	Q	         2006	         2008	ROAD	BANBURY	   3.000.000	GUARDIAN BANK	           01	           0	     300.000	         1988
	      0161	A		AW00000161	754-555-0134	VALUE ADDED RESELLER	           9	S	         2005	         2007	ROAD	42522 NORTHRUPP	     300.000	RESERVE SECURITY	           02	           0	      30.000	         1994
	      0162	A		AW00000162	599-555-0160	SPECIALTY BIKE SHOP	          45	A	         2005	         2007	ROAD	675 EAST AVE.	   1.500.000	INTERNATIONAL BANK	           03	         600	     150.000	         1987
	      0163	A		AW00000163	644-555-0111	WAREHOUSE	          83	Q	         2007	         2008	TOURING	558 S 6TH ST	   3.000.000	INTERNATIONAL SECURITY	           03	       1.000	     300.000	         1993
	      0164	A		AW00000164	706-555-0140	VALUE ADDED RESELLER	           8	S	         2005	         2007	MOUNTAIN	994 SW CHERRY PARK RD	     300.000	PRIMARY INTERNATIONAL	           02	           0	      30.000	         1986
	      0165	A		AW00000165	383-555-0117	SPECIALTY BIKE SHOP	          44	A	         2006	         2008	ROAD	2500 NORTH STEMMONS FREEWAY	   1.500.000	UNITED SECURITY	           01	           0	     150.000	         1992
	      0166	A		AW00000166	351-555-0131	WAREHOUSE	          84	Q	         2005	         2008	ROAD	220 MERCY DRIVE	   3.000.000	PRIMARY BANK & RESERVE	           00	           0	     300.000	         1985
	      0167	A		AW00000167	156-555-0187	VALUE ADDED RESELLER	           7	S	         2005	         2008	ROAD	99000 S. AVALON BLVD. SUITE 750	     300.000	GUARDIAN BANK	           01	           0	      30.000	         1991
	      0168	A		AW00000168	688-555-0113	SPECIALTY BIKE SHOP	          43	A	         2006	         2007	MOUNTAIN	72502 EASTERN AVE.	   1.500.000	RESERVE SECURITY	           02	           0	     150.000	         1984
	      0169	A		AW00000169	147-555-0192	WAREHOUSE	          85	Q	         2005	         2006	MOUNTAIN	2560 E. NEWLANDS DR	   3.000.000	INTERNATIONAL BANK	           03	         600	     300.000	         1990
	      0170	A		AW00000170	576-555-0171	VALUE ADDED RESELLER	           6	S	         2005	         2008	ROAD	6555 QUINCE ROAD, SUITE 2025	     300.000	INTERNATIONAL SECURITY	           00	           0	      30.000	         1983
	      0171	A		AW00000171	332-555-0142	SPECIALTY BIKE SHOP	          42	A	         2007	         2008	ROAD	2025 GREENWOOD CT	   1.500.000	PRIMARY INTERNATIONAL	           01	           0	     150.000	         1989
	      0172	A		AW00000172	835-555-0116	WAREHOUSE	          86	Q	         2005	         2008	MOUNTAIN	250551 SHELLBRIDGE WAY	   3.000.000	UNITED SECURITY	           02	           0	     300.000	         1982
	      0173	A		AW00000173	722-555-0169	VALUE ADDED RESELLER	           5	S	         2005	         2008	ROAD	595 BURNING STREET	     300.000	PRIMARY BANK & RESERVE	           03	         600	      30.000	         1988
	      0174	A		AW00000174	838-555-0147	SPECIALTY BIKE SHOP	          41	A	         0000	         0000	ROAD	252345 8810TH AVENUE	   1.500.000	GUARDIAN BANK	           03	         600	     150.000	         1981
	      0175	A		AW00000175	1 (11) 500 555-0197	WAREHOUSE	          87	Q	         2006	         2008	MOUNTAIN	26, RUE SAINT DENIS	   3.000.000	RESERVE SECURITY	           02	           0	     300.000	         1987
	      0176	A		AW00000176	1 (11) 500 555-0163	VALUE ADDED RESELLER	           4	S	         2007	         2008	MOUNTAIN	WINTERFELDTSTR 5557	     300.000	INTERNATIONAL BANK	           01	           0	      30.000	         1980
	      0177	A		AW00000177	1 (11) 500 555-0181	SPECIALTY BIKE SHOP	          40	A	         2007	         2008	TOURING	5525 GLENFERRIE ROAD	   1.500.000	INTERNATIONAL SECURITY	           00	           0	     150.000	         1986
	      0178	A		AW00000178	1 (11) 500 555-0193	WAREHOUSE	          88	Q	         2007	         2008	TOURING	BRADFORD	   3.000.000	PRIMARY INTERNATIONAL	           01	           0	     300.000	         1979
	      0179	A		AW00000179	608-555-0114	VALUE ADDED RESELLER	           3	S	         2007	         2008	TOURING	77993 MENTOR AVE.	     300.000	UNITED SECURITY	           02	           0	      30.000	         1985
	      0180	A		AW00000180	264-555-0164	SPECIALTY BIKE SHOP	          39	A	         2005	         2006	MOUNTAIN	9920 NORTH TELEGRAPH RD.	   1.500.000	PRIMARY BANK & RESERVE	           03	         600	     150.000	         1978
	      0181	A		AW00000181	396-555-0139	WAREHOUSE	          89	Q	         2007	         2008	TOURING	25718 SE SUNNYSIDE RD	   3.000.000	GUARDIAN BANK	           00	           0	     300.000	         1984
	      0182	A		AW00000182	156-555-0126	VALUE ADDED RESELLER	           2	S	         2007	         2008	TOURING	567 SW MCLOUGHLIN BLVD	     300.000	RESERVE SECURITY	           01	           0	      30.000	         1977
	      0183	A		AW00000183	344-555-0181	SPECIALTY BIKE SHOP	          38	A	         2006	         2008	MOUNTAIN	25 N STATE ST	   1.500.000	INTERNATIONAL BANK	           02	           0	     150.000	         1983
	      0184	A		AW00000184	306-555-0166	WAREHOUSE	          90	Q	         2006	         2007	MOUNTAIN	2509 W. FRANKFORD	   3.000.000	INTERNATIONAL SECURITY	           03	         600	     300.000	         1976
	      0185	A		AW00000185	495-555-0113	VALUE ADDED RESELLER	           4	S	         2007	         2007	ROAD	630 N. CAPITOL AVE.	     300.000	PRIMARY INTERNATIONAL	           03	         200	      30.000	         1982
	      0186	A		AW00000186	789-555-0184	SPECIALTY BIKE SHOP	          37	A	         2007	         2008	TOURING	4660 RODEO ROAD	   1.500.000	UNITED SECURITY	           02	           0	     150.000	         1975
	      0187	A		AW00000187	491-555-0132	WAREHOUSE	          91	Q	         2005	         2008	MOUNTAIN	251340 E. SOUTH ST.	   3.000.000	PRIMARY BANK & RESERVE	           01	           0	     300.000	         1981
	      0188	A		AW00000188	685-555-0176	VALUE ADDED RESELLER	           6	S	         0000	         0000	MOUNTAIN	83995 SOUTH DIXIE HIGHWAY	     300.000	GUARDIAN BANK	           00	           0	      30.000	         1974
	      0189	A		AW00000189	514-555-0128	SPECIALTY BIKE SHOP	          36	A	         0000	         0000	ROAD	39950 AIRPORT BLVD.	   1.500.000	RESERVE SECURITY	           01	           0	     150.000	         1980
	      0190	A		AW00000190	371-555-0112	WAREHOUSE	          92	Q	         2007	         2008	MOUNTAIN	2512-410TH AVENUE S.W.	   3.000.000	INTERNATIONAL BANK	           02	           0	     300.000	         1991
	      0191	A		AW00000191	303-555-0117	VALUE ADDED RESELLER	           8	S	         2005	         2007	ROAD	258 KING STREET EAST	     300.000	INTERNATIONAL SECURITY	           03	         600	      30.000	         1979
	      0192	A		AW00000192	117-555-0173	SPECIALTY BIKE SHOP	          35	A	         0000	         0000	MOUNTAIN	6TH FLOOR FERGUSON BLOCK	   1.500.000	PRIMARY INTERNATIONAL	           00	           0	     150.000	         1992
	      0193	A		AW00000193	1 (11) 500 555-0165	WAREHOUSE	          93	Q	         2007	         2008	TOURING	68081, PLACE DU TERTRE	   3.000.000	UNITED SECURITY	           01	           0	     300.000	         1978
	      0194	A		AW00000194	1 (11) 500 555-0179	VALUE ADDED RESELLER	          10	S	         0000	         0000	TOURING	ALTE LANDSTR 776	     800.000	PRIMARY BANK & RESERVE	           02	           0	      80.000	         1974
	      0195	A		AW00000195	1 (11) 500 555-0180	SPECIALTY BIKE SHOP	          34	A	         2007	         2008	MOUNTAIN	2253 MILLER STREET	   1.500.000	GUARDIAN BANK	           03	         600	     150.000	         1976
	      0196	A		AW00000196	1 (11) 500 555-0126	WAREHOUSE	          94	Q	         2007	         2008	MOUNTAIN	GARAMONDE DRIVE, WYMBUSH	   3.000.000	RESERVE SECURITY	           03	       1.000	     300.000	         1978
	      0197	A		AW00000197	224-555-0126	VALUE ADDED RESELLER	          12	S	         2006	         2008	MOUNTAIN	46460 WEST OAKS DRIVE	     800.000	INTERNATIONAL BANK	           02	           0	      80.000	         1980
	      0198	A		AW00000198	528-555-0183	SPECIALTY BIKE SHOP	          33	A	         2005	         2007	ROAD	997000 TELEGRAPH RD.	   1.500.000	INTERNATIONAL SECURITY	           01	           0	     150.000	         1982
	      0199	A		AW00000199	947-555-0143	WAREHOUSE	          95	Q	         2007	         2008	TOURING	490 NE 4TH ST	   3.000.000	PRIMARY INTERNATIONAL	           00	           0	     300.000	         1984
	      0200	A		AW00000200	170-555-0189	VALUE ADDED RESELLER	          14	S	         2005	         2008	ROAD	15 EAST MAIN	     800.000	UNITED SECURITY	           01	           0	      80.000	         1986
	      0201	A		AW00000201	789-555-0189	SPECIALTY BIKE SHOP	          32	A	         2007	         2008	TOURING	PO BOX 8035996	   1.500.000	PRIMARY BANK & RESERVE	           02	           0	     150.000	         1988
	      0202	A		AW00000202	645-555-0193	WAREHOUSE	          96	Q	         2007	         2008	TOURING	5700 LEGACY DR	   3.000.000	GUARDIAN BANK	           03	         600	     300.000	         1990
	      0203	A		AW00000203	207-555-0129	VALUE ADDED RESELLER	          16	S	         2005	         2007	ROAD	440 WEST HUNTINGTON DR.	     800.000	RESERVE SECURITY	           00	           0	      80.000	         1992
	      0204	A		AW00000204	973-555-0112	SPECIALTY BIKE SHOP	          31	A	         0000	         0000	MOUNTAIN	99235 HAWTHORNE BLVD.	   1.500.000	INTERNATIONAL BANK	           01	           0	     150.000	         1994
	      0205	A		AW00000205	171-555-0147	WAREHOUSE	          97	Q	         2007	         2008	TOURING	870 N. 54TH AVE.	   3.000.000	INTERNATIONAL SECURITY	           02	           0	     300.000	         1996
	      0206	A		AW00000206	895-555-0160	VALUE ADDED RESELLER	          18	S	         2005	         2008	ROAD	3990 SILAS CREEK PARKWAY	     800.000	PRIMARY INTERNATIONAL	           03	         600	      80.000	         1998
	      0207	A		AW00000207	726-555-0191	SPECIALTY BIKE SHOP	          30	A	         2006	         2008	MOUNTAIN	956K NORTH WESLEYAN BLVD.	   1.500.000	UNITED SECURITY	           03	         600	     150.000	         2000
	      0208	A		AW00000208	154-555-0115	WAREHOUSE	          98	Q	         2005	         2007	ROAD	2545 KING STREET WEST	   3.000.000	PRIMARY BANK & RESERVE	           02	           0	     300.000	         2002
	      0209	A		AW00000209	595-555-0131	VALUE ADDED RESELLER	          20	S	         0000	         0000	ROAD	2550 MIDDLEFIELD ROAD	   1.000.000	GUARDIAN BANK	           01	           0	     100.000	         2004
	      0210	A		AW00000210	584-555-0192	SPECIALTY BIKE SHOP	          29	A	         2005	         2008	ROAD	25 FIRST CANADIAN PLACE	   1.000.000	RESERVE SECURITY	           00	           0	     100.000	         2005
	      0211	A		AW00000211	1 (11) 500 555-0174	WAREHOUSE	          99	Q	         2006	         2008	ROAD	98, RUE DE TERRE NEUVE	   3.000.000	INTERNATIONAL BANK	           01	           0	     300.000	         2003
	      0212	A		AW00000212	1 (11) 500 555-0187	VALUE ADDED RESELLER	          19	S	         2007	         2008	TOURING	KURF?RSTENSTR 574	     800.000	INTERNATIONAL SECURITY	           02	           0	      80.000	         2004
	      0213	A		AW00000213	1 (11) 500 555-0168	SPECIALTY BIKE SHOP	          28	A	         2007	         2008	TOURING	LEVEL 100	   1.000.000	PRIMARY INTERNATIONAL	           03	         600	     100.000	         1975
	      0214	A		AW00000214	1 (11) 500 555-0175	WAREHOUSE	         100	Q	         2006	         2008	ROAD	BUTTERFIELD HSE, 7-251 CHAPEL ST	   3.000.000	UNITED SECURITY	           00	           0	     300.000	         2003
	      0215	A		AW00000215	230-555-0164	VALUE ADDED RESELLER	          18	S	         2005	         2005	ROAD	25850 POST ROAD	     800.000	PRIMARY BANK & RESERVE	           01	           0	      80.000	         1979
	      0216	A		AW00000216	496-555-0150	SPECIALTY BIKE SHOP	          27	A	         2005	         2008	ROAD	9975 UNION ST.	   1.000.000	GUARDIAN BANK	           02	           0	     100.000	         2002
	      0217	A		AW00000217	642-555-0187	WAREHOUSE	          66	Q	         2006	         2008	MOUNTAIN	3025 E WATERWAY BLVD	   3.000.000	RESERVE SECURITY	           03	         600	     300.000	         1983
	      0218	A		AW00000218	476-555-0139	VALUE ADDED RESELLER	          17	S	         2005	         2007	ROAD	7990 OCEAN BEACH HWY.	     800.000	INTERNATIONAL BANK	           03	         200	      80.000	         2001
	      0219	A		AW00000219	320-555-0134	VALUE ADDED RESELLER	           2	S	         2007	         2007	ROAD	625 W JACKSON BLVD. UNIT 2502	     300.000	INTERNATIONAL SECURITY	           02	           0	      30.000	         1974
	      0220	A		AW00000220	575-555-0189	SPECIALTY BIKE SHOP	          10	A	         2007	         2008	TOURING	250880 BAUR BLVD	     800.000	PRIMARY INTERNATIONAL	           01	           0	      80.000	         1976
	      0221	A		AW00000221	993-555-0179	WAREHOUSE	          40	Q	         2005	         2008	ROAD	9952 E. LOHMAN AVE.	   1.500.000	UNITED SECURITY	           00	           0	     150.000	         1978
	      0222	A		AW00000222	858-555-0140	VALUE ADDED RESELLER	           5	S	         2005	         2006	ROAD	2530 SOUTH COLORADO BLVD.	     300.000	PRIMARY BANK & RESERVE	           01	           0	      30.000	         1980
	      0223	A		AW00000223	458-555-0179	SPECIALTY BIKE SHOP	          13	A	         2007	         2008	TOURING	955 E. COUNTY LINE RD.	     800.000	GUARDIAN BANK	           02	           0	      80.000	         1982
	      0224	A		AW00000224	455-555-0144	WAREHOUSE	          43	Q	         2006	         2007	ROAD	656 COX CREEK PKWY.	   1.500.000	RESERVE SECURITY	           03	         600	     150.000	         1984
	      0225	A		AW00000225	523-555-0170	VALUE ADDED RESELLER	           8	S	         2006	         2007	ROAD	25050 S. COLUMBIA AVE	     300.000	INTERNATIONAL BANK	           00	           0	      30.000	         1986
	      0226	A		AW00000226	103-555-0151	SPECIALTY BIKE SHOP	          16	A	         2006	         2007	MOUNTAIN	65 GAMELIN STREET	     800.000	INTERNATIONAL SECURITY	           01	           0	      80.000	         1988
	      0227	A		AW00000227	431-555-0153	WAREHOUSE	          46	Q	         2005	         2008	ROAD	2500 UNIVERSITY AVENUE	   1.500.000	PRIMARY INTERNATIONAL	           02	           0	     150.000	         1990
	      0228	A		AW00000228	356-555-0190	VALUE ADDED RESELLER	          11	S	         2007	         2008	TOURING	955 GREEN VALLEY CRESCENT	     800.000	UNITED SECURITY	           03	         600	      80.000	         1992
	      0229	A		AW00000229	1 (11) 500 555-0113	SPECIALTY BIKE SHOP	          19	A	         2006	         2008	ROAD	21801, RUE L?O DELIBES	     800.000	PRIMARY BANK & RESERVE	           03	         600	      80.000	         1994
	      0230	A		AW00000230	1 (11) 500 555-0179	WAREHOUSE	          49	Q	         2007	         2008	TOURING	K?NIGSTEINER STRA?E 9	   1.500.000	GUARDIAN BANK	           02	           0	     150.000	         1996
	      0231	A		AW00000231	1 (11) 500 555-0122	VALUE ADDED RESELLER	          14	S	         2007	         2008	TOURING	ROSEBERY	     800.000	RESERVE SECURITY	           01	           0	      80.000	         1998
	      0232	A		AW00000232	1 (11) 500 555-0140	SPECIALTY BIKE SHOP	          22	A	         2007	         2008	TOURING	WADE ROAD	   1.000.000	INTERNATIONAL BANK	           00	           0	     100.000	         2000
	      0233	A		AW00000233	618-555-0193	WAREHOUSE	          52	Q	         2006	         2008	MOUNTAIN	7505 COMMERCIAL DR.	   3.000.000	INTERNATIONAL SECURITY	           01	           0	     300.000	         2002
	      0234	A		AW00000234	428-555-0162	VALUE ADDED RESELLER	          17	S	         2006	         2007	ROAD	89950 CASTLETON CORNER	     800.000	PRIMARY INTERNATIONAL	           02	           0	      80.000	         2004
	      0235	A		AW00000235	344-555-0133	SPECIALTY BIKE SHOP	          25	A	         2006	         2008	ROAD	2345 WEST SPENCER ROAD	   1.000.000	UNITED SECURITY	           03	         600	     100.000	         2005
	      0236	A		AW00000236	173-555-0151	WAREHOUSE	          55	Q	         2006	         2008	MOUNTAIN	1050 OAK STREET	   3.000.000	PRIMARY BANK & RESERVE	           00	           0	     300.000	         2003
	      0237	A		AW00000237	658-555-0146	VALUE ADDED RESELLER	          20	S	         2006	         2008	MOUNTAIN	NOAH LANE	   1.000.000	GUARDIAN BANK	           01	           0	     100.000	         2004
	      0238	A		AW00000238	652-555-0189	SPECIALTY BIKE SHOP	          28	A	         2005	         2007	ROAD	6030 ROBINSON ROAD	   1.000.000	RESERVE SECURITY	           02	           0	     100.000	         1975
	      0239	A		AW00000239	529-555-0195	WAREHOUSE	          58	Q	         2006	         2007	ROAD	409 SANTA MONICA BLVD.	   3.000.000	INTERNATIONAL BANK	           03	         600	     300.000	         2003
	      0240	A		AW00000240	103-555-0179	VALUE ADDED RESELLER	          19	S	         2005	         2006	ROAD	MALL OF ORANGE	     800.000	INTERNATIONAL SECURITY	           03	         200	      80.000	         1979
	      0241	A		AW00000241	703-555-0120	SPECIALTY BIKE SHOP	          31	A	         2007	         2008	TOURING	TOPANGA PLAZA	   1.500.000	PRIMARY INTERNATIONAL	           02	           0	     150.000	         2002
	      0242	A		AW00000242	600-555-0162	WAREHOUSE	          61	Q	         2006	         2007	ROAD	2545 N.W. 107TH AVE.	   3.000.000	UNITED SECURITY	           01	           0	     300.000	         1983
	      0243	A		AW00000243	162-555-0138	VALUE ADDED RESELLER	          18	S	         2007	         2007	MOUNTAIN	8789 S.W. 2517 AVE.	     800.000	PRIMARY BANK & RESERVE	           00	           0	      80.000	         2001
	      0244	A		AW00000244	697-555-0131	SPECIALTY BIKE SHOP	          34	A	         2008	         2008	ROAD	2510 CREW COURT	   1.500.000	GUARDIAN BANK	           01	           0	     150.000	         1987
	      0245	A		AW00000245	191-555-0151	WAREHOUSE	          64	Q	         2006	         2008	MOUNTAIN	9900-6400 BOUL, TASCHEREAU	   3.000.000	RESERVE SECURITY	           02	           0	     300.000	         2000
	      0246	A		AW00000246	481-555-0131	VALUE ADDED RESELLER	          17	S	         2006	         2007	MOUNTAIN	600 BOUL. RENE-LEVESQUE OUEST	     800.000	INTERNATIONAL BANK	           03	         600	      80.000	         1991
	      0247	A		AW00000247	1 (11) 500 555-0112	SPECIALTY BIKE SHOP	          37	A	         2006	         2008	MOUNTAIN	2111, RUE DE LINOIS	   1.500.000	INTERNATIONAL SECURITY	           00	           0	     150.000	         1999
	      0248	A		AW00000248	1 (11) 500 555-0158	WAREHOUSE	          67	Q	         2007	         2008	ROAD	WERFTSTR 4400	   3.000.000	PRIMARY INTERNATIONAL	           01	           0	     300.000	         1995
	      0249	A		AW00000249	1 (11) 500 555-0189	VALUE ADDED RESELLER	          16	S	         2007	         2008	TOURING	LICENSING ACCOUNT	     800.000	UNITED SECURITY	           02	           0	      80.000	         1998
	      0250	A		AW00000250	1 (11) 500 555-0127	SPECIALTY BIKE SHOP	          40	A	         2007	         2008	MOUNTAIN	586 FULHAM ROAD,	   1.500.000	PRIMARY BANK & RESERVE	           03	         600	     150.000	         1999
	      0251	A		AW00000251	378-555-0157	WAREHOUSE	          70	Q	         2007	         2008	ROAD	99200 DIXWELL AVE.	   3.000.000	GUARDIAN BANK	           03	       1.000	     300.000	         1997
	      0252	A		AW00000252	612-555-0149	VALUE ADDED RESELLER	          15	S	         2005	         2008	MOUNTAIN	630 OLDGATE LANE	     800.000	RESERVE SECURITY	           02	           0	      80.000	         2003
	      0253	A		AW00000253	116-555-0163	SPECIALTY BIKE SHOP	          43	A	         2006	         2008	ROAD	4927 S MERIDIAN AVE STE D	   1.500.000	INTERNATIONAL BANK	           01	           0	     150.000	         1996
	      0254	A		AW00000254	449-555-0176	WAREHOUSE	          73	Q	         2006	         2008	MOUNTAIN	25915 140TH AVE NE	   3.000.000	INTERNATIONAL SECURITY	           00	           0	     300.000	         2002
	      0255	A		AW00000255	184-555-0187	VALUE ADDED RESELLER	          14	S	         2005	         2008	ROAD	25500 OLD SPANISH TRAIL	     800.000	PRIMARY INTERNATIONAL	           01	           0	      80.000	         1995
	      0256	A		AW00000256	367-555-0124	SPECIALTY BIKE SHOP	          46	A	         2005	         2007	ROAD	99828 ROUTH STREET, SUITE 825	   1.500.000	UNITED SECURITY	           02	           0	     150.000	         2001
	      0257	A		AW00000257	384-555-0169	WAREHOUSE	          76	Q	         2006	         2008	ROAD	ESCONDIDO	   3.000.000	PRIMARY BANK & RESERVE	           03	         600	     300.000	         1994
	      0258	A		AW00000258	767-555-0193	VALUE ADDED RESELLER	          13	S	         2006	         2008	ROAD	NATOMAS MARKETPLACE	     800.000	GUARDIAN BANK	           00	           0	      80.000	         2000
	      0259	A		AW00000259	199-555-0135	SPECIALTY BIKE SHOP	          49	A	         2005	         2008	ROAD	SIMI @ THE PLAZA	   1.500.000	RESERVE SECURITY	           01	           0	     150.000	         1993
	      0260	A		AW00000260	471-555-0181	WAREHOUSE	          79	Q	         2007	         2008	TOURING	825 CORAL WAY	   3.000.000	INTERNATIONAL BANK	           02	           0	     300.000	         1999
	      0261	A		AW00000261	695-555-0128	VALUE ADDED RESELLER	          12	S	         0000	         0000	MOUNTAIN	650 E ALTAMONTE DR	     800.000	INTERNATIONAL SECURITY	           03	         600	      80.000	         1992
	      0262	A		AW00000262	718-555-0152	SPECIALTY BIKE SHOP	          48	A	         2006	         2008	ROAD	9259 - 1110TH AVENUE SW	   1.500.000	PRIMARY INTERNATIONAL	           03	         600	     150.000	         1998
	      0263	A		AW00000263	251-555-0172	WAREHOUSE	          80	Q	         2007	         2008	TOURING	45259 CANADA WAY	   3.000.000	UNITED SECURITY	           02	           0	     300.000	         1991
	      0264	A		AW00000264	277-555-0182	VALUE ADDED RESELLER	          11	S	         2007	         2008	TOURING	9960 KING STREET E.	     800.000	PRIMARY BANK & RESERVE	           01	           0	      80.000	         1997
